policies,next policies
Youth Welfare Act for 19-34 young people,Basis for supporting youth and providing safety nets
Basis for supporting youth and providing safety nets,Establishment of Youth Polict Coordination Committee under the Prime Minister
Establishment of Youth Polict Coordination Committee under the Prime Minister,Designate youth policy officer in the central and local governments
Designate youth policy officer in the central and local governments,Creating youth-friendly cities
Designate youth policy officer in the central and local governments,Promoting youth employment and improving job quality
Designate youth policy officer in the central and local governments,Youth housing assistance
Designate youth policy officer in the central and local governments,Supporting Young entrepreneurship 
